<https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="original"
, <http://web.archive.org/web/20140818054151/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 18 Aug 2014 01:41:51 GMT"
, <http://web.archive.org/web/20140818054152/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 18 Aug 2014 01:41:52 GMT"
, <http://web.archive.org/web/20140819053529/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 19 Aug 2014 01:35:29 GMT"
, <http://web.archive.org/web/20140822130703/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 22 Aug 2014 09:07:03 GMT"
, <http://web.archive.org/web/20140822130726/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 22 Aug 2014 09:07:26 GMT"
, <http://web.archive.org/web/20140823163334/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 23 Aug 2014 12:33:34 GMT"
, <http://web.archive.org/web/20140823163354/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 23 Aug 2014 12:33:54 GMT"
, <http://web.archive.org/web/20140824193345/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 24 Aug 2014 15:33:45 GMT"
, <http://web.archive.org/web/20140824193404/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 24 Aug 2014 15:34:04 GMT"
, <http://web.archive.org/web/20140825041000/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 25 Aug 2014 00:10:00 GMT"
, <http://web.archive.org/web/20140901120259/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 01 Sep 2014 08:02:59 GMT"
, <http://web.archive.org/web/20140901120301/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 01 Sep 2014 08:03:01 GMT"
, <http://web.archive.org/web/20140908063731/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 08 Sep 2014 02:37:31 GMT"
, <http://web.archive.org/web/20140912143747/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 12 Sep 2014 10:37:47 GMT"
, <http://web.archive.org/web/20140912143841/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 12 Sep 2014 10:38:41 GMT"
, <http://web.archive.org/web/20140915050551/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 15 Sep 2014 01:05:51 GMT"
, <http://web.archive.org/web/20140924090159/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 24 Sep 2014 05:01:59 GMT"
, <http://web.archive.org/web/20141001105737/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 01 Oct 2014 06:57:37 GMT"
, <http://web.archive.org/web/20141008171732/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 08 Oct 2014 13:17:32 GMT"
, <http://web.archive.org/web/20141015093729/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 15 Oct 2014 05:37:29 GMT"
, <http://web.archive.org/web/20141022110945/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 22 Oct 2014 07:09:45 GMT"
, <http://web.archive.org/web/20141023214607/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 23 Oct 2014 17:46:07 GMT"
, <http://web.archive.org/web/20141029141706/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 29 Oct 2014 10:17:06 GMT"
, <http://web.archive.org/web/20141113025841/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 12 Nov 2014 21:58:41 GMT"
, <http://web.archive.org/web/20141113025843/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 12 Nov 2014 21:58:43 GMT"
, <http://web.archive.org/web/20141130224237/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 30 Nov 2014 17:42:37 GMT"
, <http://web.archive.org/web/20141130224238/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 30 Nov 2014 17:42:38 GMT"
, <http://web.archive.org/web/20141201103022/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 01 Dec 2014 05:30:22 GMT"
, <http://web.archive.org/web/20141213094354/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 13 Dec 2014 04:43:54 GMT"
, <http://web.archive.org/web/20141213094356/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 13 Dec 2014 04:43:56 GMT"
, <http://web.archive.org/web/20141227151426/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 27 Dec 2014 10:14:26 GMT"
, <http://web.archive.org/web/20141227151428/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 27 Dec 2014 10:14:28 GMT"
, <http://web.archive.org/web/20150101051618/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 01 Jan 2015 00:16:18 GMT"
, <http://web.archive.org/web/20150101051619/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 01 Jan 2015 00:16:19 GMT"
, <http://web.archive.org/web/20150101052806/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 01 Jan 2015 00:28:06 GMT"
, <http://web.archive.org/web/20150101052807/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 01 Jan 2015 00:28:07 GMT"
, <http://web.archive.org/web/20150101141129/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 01 Jan 2015 09:11:29 GMT"
, <http://web.archive.org/web/20150101141130/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 01 Jan 2015 09:11:30 GMT"
, <http://web.archive.org/web/20150102071425/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 02 Jan 2015 02:14:25 GMT"
, <http://web.archive.org/web/20150102071428/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 02 Jan 2015 02:14:28 GMT"
, <http://web.archive.org/web/20150102161734/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 02 Jan 2015 11:17:34 GMT"
, <http://web.archive.org/web/20150102161735/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 02 Jan 2015 11:17:35 GMT"
, <http://web.archive.org/web/20150103102944/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 03 Jan 2015 05:29:44 GMT"
, <http://web.archive.org/web/20150103102945/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 03 Jan 2015 05:29:45 GMT"
, <http://web.archive.org/web/20150103150717/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 03 Jan 2015 10:07:17 GMT"
, <http://web.archive.org/web/20150103150718/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 03 Jan 2015 10:07:18 GMT"
, <http://web.archive.org/web/20150103184114/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 03 Jan 2015 13:41:14 GMT"
, <http://web.archive.org/web/20150103184115/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 03 Jan 2015 13:41:15 GMT"
, <http://web.archive.org/web/20150104202156/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 04 Jan 2015 15:21:56 GMT"
, <http://web.archive.org/web/20150104202157/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 04 Jan 2015 15:21:57 GMT"
, <http://web.archive.org/web/20150104204840/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 04 Jan 2015 15:48:40 GMT"
, <http://web.archive.org/web/20150104204842/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 04 Jan 2015 15:48:42 GMT"
, <http://wayback.archive-it.org/all/20150108115649/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 08 Jan 2015 06:56:49 GMT"
, <http://wayback.archive-it.org/all/20150108115651/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 08 Jan 2015 06:56:51 GMT"
, <http://web.archive.org/web/20150111003252/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 10 Jan 2015 19:32:52 GMT"
, <http://web.archive.org/web/20150111003254/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 10 Jan 2015 19:32:54 GMT"
, <http://web.archive.org/web/20150117120846/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 17 Jan 2015 07:08:46 GMT"
, <http://web.archive.org/web/20150117120847/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 17 Jan 2015 07:08:47 GMT"
, <http://web.archive.org/web/20150122004727/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 21 Jan 2015 19:47:27 GMT"
, <http://web.archive.org/web/20150122004728/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 21 Jan 2015 19:47:28 GMT"
, <http://web.archive.org/web/20150122030132/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 21 Jan 2015 22:01:32 GMT"
, <http://web.archive.org/web/20150122030133/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 21 Jan 2015 22:01:33 GMT"
, <http://web.archive.org/web/20150123045759/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 22 Jan 2015 23:57:59 GMT"
, <http://web.archive.org/web/20150123045800/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 22 Jan 2015 23:58:00 GMT"
, <http://web.archive.org/web/20150205133002/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Feb 2015 08:30:02 GMT"
, <http://wayback.archive-it.org/all/20150219055838/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 19 Feb 2015 00:58:38 GMT"
, <http://wayback.archive-it.org/all/20150219055839/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 19 Feb 2015 00:58:39 GMT"
, <http://web.archive.org/web/20150301114647/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 01 Mar 2015 06:46:47 GMT"
, <http://web.archive.org/web/20150301114648/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 01 Mar 2015 06:46:48 GMT"
, <http://web.archive.org/web/20150310181914/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 10 Mar 2015 14:19:14 GMT"
, <http://web.archive.org/web/20150310181916/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 10 Mar 2015 14:19:16 GMT"
, <http://web.archive.org/web/20150324162001/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 24 Mar 2015 12:20:01 GMT"
, <http://web.archive.org/web/20150324162005/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 24 Mar 2015 12:20:05 GMT"
, <http://web.archive.org/web/20150507033019/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 06 May 2015 23:30:19 GMT"
, <http://web.archive.org/web/20150517061900/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 17 May 2015 02:19:00 GMT"
, <http://web.archive.org/web/20150517061904/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 17 May 2015 02:19:04 GMT"
, <http://web.archive.org/web/20150610060107/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 10 Jun 2015 02:01:07 GMT"
, <http://web.archive.org/web/20150610060110/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 10 Jun 2015 02:01:10 GMT"
, <http://web.archive.org/web/20150611021759/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 10 Jun 2015 22:17:59 GMT"
, <http://web.archive.org/web/20150616141733/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 16 Jun 2015 10:17:33 GMT"
, <http://web.archive.org/web/20150811032444/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 10 Aug 2015 23:24:44 GMT"
, <http://web.archive.org/web/20150824045313/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 24 Aug 2015 00:53:13 GMT"
, <http://web.archive.org/web/20150910210100/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 10 Sep 2015 17:01:00 GMT"
, <http://web.archive.org/web/20150911121517/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 11 Sep 2015 08:15:17 GMT"
, <http://web.archive.org/web/20151013030140/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 12 Oct 2015 23:01:40 GMT"
, <http://web.archive.org/web/20151013030142/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Mon, 12 Oct 2015 23:01:42 GMT"
, <http://web.archive.org/web/20151016000517/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 15 Oct 2015 20:05:17 GMT"
, <http://web.archive.org/web/20151016000518/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 15 Oct 2015 20:05:18 GMT"
, <http://web.archive.org/web/20151022000025/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 21 Oct 2015 20:00:25 GMT"
, <http://web.archive.org/web/20151022000027/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 21 Oct 2015 20:00:27 GMT"
, <http://web.archive.org/web/20151105194659/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Thu, 05 Nov 2015 14:46:59 GMT"
, <http://web.archive.org/web/20151110065949/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 10 Nov 2015 01:59:49 GMT"
, <http://web.archive.org/web/20151121140840/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 21 Nov 2015 09:08:40 GMT"
, <http://web.archive.org/web/20151121140841/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 21 Nov 2015 09:08:41 GMT"
, <http://web.archive.org/web/20151125003135/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 24 Nov 2015 19:31:35 GMT"
, <http://web.archive.org/web/20151125003136/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Tue, 24 Nov 2015 19:31:36 GMT"
, <http://web.archive.org/web/20151202090240/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 02 Dec 2015 04:02:40 GMT"
, <http://web.archive.org/web/20151202090241/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 02 Dec 2015 04:02:41 GMT"
, <http://web.archive.org/web/20151209085558/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 09 Dec 2015 03:55:58 GMT"
, <http://web.archive.org/web/20151209085559/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 09 Dec 2015 03:55:59 GMT"
, <http://web.archive.org/web/20151212043548/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 11 Dec 2015 23:35:48 GMT"
, <http://web.archive.org/web/20151226101922/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sat, 26 Dec 2015 05:19:22 GMT"
, <http://web.archive.org/web/20151230103215/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 30 Dec 2015 05:32:15 GMT"
, <http://web.archive.org/web/20151230103216/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Wed, 30 Dec 2015 05:32:16 GMT"
, <http://web.archive.org/web/20160103081310/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Sun, 03 Jan 2016 03:13:10 GMT"
, <http://web.archive.org/web/20160122104745/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 22 Jan 2016 05:47:45 GMT"
, <http://web.archive.org/web/20160205112609/http://www.youtube.com/watch?v=b_ubVVnWglk>;rel="memento"; datetime="Fri, 05 Feb 2016 06:26:09 GMT"
 , <http://mementoproxy.cs.odu.edu/aggr/timegate/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="timegate"
 , <http://mementoproxy.cs.odu.edu/aggr/timemap/link/1/https://www.youtube.com/watch?v=b_ubVVnWglk>;rel="self"; type="application/link-format"; from ="Fri, 20 Jun 2008 06:57:31 GMT";until="Fri, 05 Feb 2016 06:26:09 GMT"
