<http://line.me/en/>;rel="original"
,<http://web.archive.org/web/20140726004425/http://line.me/en/>;rel="memento"; datetime="Sat, 26 Jul 2014 00:44:25 GMT"
,<http://web.archive.org/web/20140726073826/http://line.me/en>;rel="memento"; datetime="Sat, 26 Jul 2014 07:38:26 GMT"
,<http://web.archive.org/web/20140726073829/http://line.me/en/>;rel="memento"; datetime="Sat, 26 Jul 2014 07:38:29 GMT"
,<http://web.archive.org/web/20140726110448/http://line.me/en/>;rel="memento"; datetime="Sat, 26 Jul 2014 11:04:48 GMT"
,<http://web.archive.org/web/20140726112307/http://line.me/en>;rel="memento"; datetime="Sat, 26 Jul 2014 11:23:07 GMT"
,<http://web.archive.org/web/20140726112309/http://line.me/en/>;rel="memento"; datetime="Sat, 26 Jul 2014 11:23:09 GMT"
,<http://web.archive.org/web/20140726143008/http://line.me/en>;rel="memento"; datetime="Sat, 26 Jul 2014 14:30:08 GMT"
,<http://web.archive.org/web/20140726143011/http://line.me/en/>;rel="memento"; datetime="Sat, 26 Jul 2014 14:30:11 GMT"
,<http://web.archive.org/web/20140726170741/http://line.me/en>;rel="memento"; datetime="Sat, 26 Jul 2014 17:07:41 GMT"
,<http://web.archive.org/web/20140726170742/http://line.me/en/>;rel="memento"; datetime="Sat, 26 Jul 2014 17:07:42 GMT"
,<http://web.archive.org/web/20140727013403/http://line.me/en>;rel="memento"; datetime="Sun, 27 Jul 2014 01:34:03 GMT"
,<http://web.archive.org/web/20140727013404/http://line.me/en/>;rel="memento"; datetime="Sun, 27 Jul 2014 01:34:04 GMT"
,<http://web.archive.org/web/20140727014431/http://line.me/en/>;rel="memento"; datetime="Sun, 27 Jul 2014 01:44:31 GMT"
,<http://web.archive.org/web/20140727060235/http://line.me/en>;rel="memento"; datetime="Sun, 27 Jul 2014 06:02:35 GMT"
,<http://web.archive.org/web/20140727060237/http://line.me/en/>;rel="memento"; datetime="Sun, 27 Jul 2014 06:02:37 GMT"
,<http://web.archive.org/web/20140727120700/http://line.me/en>;rel="memento"; datetime="Sun, 27 Jul 2014 12:07:00 GMT"
,<http://web.archive.org/web/20140727120706/http://line.me/en/>;rel="memento"; datetime="Sun, 27 Jul 2014 12:07:06 GMT"
,<http://web.archive.org/web/20140727204214/http://line.me/en>;rel="memento"; datetime="Sun, 27 Jul 2014 20:42:14 GMT"
,<http://web.archive.org/web/20140727204215/http://line.me/en/>;rel="memento"; datetime="Sun, 27 Jul 2014 20:42:15 GMT"
,<http://web.archive.org/web/20140727205515/http://line.me/en>;rel="memento"; datetime="Sun, 27 Jul 2014 20:55:15 GMT"
,<http://web.archive.org/web/20140727205516/http://line.me/en/>;rel="memento"; datetime="Sun, 27 Jul 2014 20:55:16 GMT"
,<http://web.archive.org/web/20140727231624/http://line.me/en>;rel="memento"; datetime="Sun, 27 Jul 2014 23:16:24 GMT"
,<http://web.archive.org/web/20140727231626/http://line.me/en/>;rel="memento"; datetime="Sun, 27 Jul 2014 23:16:26 GMT"
,<http://web.archive.org/web/20140728061905/http://line.me/en>;rel="memento"; datetime="Mon, 28 Jul 2014 06:19:05 GMT"
,<http://web.archive.org/web/20140728061907/http://line.me/en/>;rel="memento"; datetime="Mon, 28 Jul 2014 06:19:07 GMT"
,<http://web.archive.org/web/20140728095730/http://line.me/en>;rel="memento"; datetime="Mon, 28 Jul 2014 09:57:30 GMT"
,<http://web.archive.org/web/20140728095732/http://line.me/en/>;rel="memento"; datetime="Mon, 28 Jul 2014 09:57:32 GMT"
,<http://web.archive.org/web/20140728180902/http://line.me/en/>;rel="memento"; datetime="Mon, 28 Jul 2014 18:09:02 GMT"
,<http://web.archive.org/web/20140728181301/http://line.me/en>;rel="memento"; datetime="Mon, 28 Jul 2014 18:13:01 GMT"
,<http://web.archive.org/web/20140728181302/http://line.me/en/>;rel="memento"; datetime="Mon, 28 Jul 2014 18:13:02 GMT"
,<http://web.archive.org/web/20140728231217/http://line.me/en>;rel="memento"; datetime="Mon, 28 Jul 2014 23:12:17 GMT"
,<http://web.archive.org/web/20140728231218/http://line.me/en/>;rel="memento"; datetime="Mon, 28 Jul 2014 23:12:18 GMT"
,<http://web.archive.org/web/20140729053256/http://line.me/en>;rel="memento"; datetime="Tue, 29 Jul 2014 05:32:56 GMT"
,<http://web.archive.org/web/20140729053300/http://line.me/en/>;rel="memento"; datetime="Tue, 29 Jul 2014 05:33:00 GMT"
,<http://web.archive.org/web/20140729070115/http://line.me/en/>;rel="memento"; datetime="Tue, 29 Jul 2014 07:01:15 GMT"
,<http://web.archive.org/web/20140729074337/http://line.me/en>;rel="memento"; datetime="Tue, 29 Jul 2014 07:43:37 GMT"
,<http://web.archive.org/web/20140729074338/http://line.me/en/>;rel="memento"; datetime="Tue, 29 Jul 2014 07:43:38 GMT"
,<http://web.archive.org/web/20140729135925/http://line.me/en>;rel="memento"; datetime="Tue, 29 Jul 2014 13:59:25 GMT"
,<http://web.archive.org/web/20140729135926/http://line.me/en/>;rel="memento"; datetime="Tue, 29 Jul 2014 13:59:26 GMT"
,<http://web.archive.org/web/20140730052308/http://line.me/en>;rel="memento"; datetime="Wed, 30 Jul 2014 05:23:08 GMT"
,<http://web.archive.org/web/20140730052309/http://line.me/en/>;rel="memento"; datetime="Wed, 30 Jul 2014 05:23:09 GMT"
,<http://web.archive.org/web/20140730100428/http://line.me/en/>;rel="memento"; datetime="Wed, 30 Jul 2014 10:04:28 GMT"
,<http://web.archive.org/web/20140730111903/http://line.me/en>;rel="memento"; datetime="Wed, 30 Jul 2014 11:19:03 GMT"
,<http://web.archive.org/web/20140730111904/http://line.me/en/>;rel="memento"; datetime="Wed, 30 Jul 2014 11:19:04 GMT"
,<http://web.archive.org/web/20140730183958/http://line.me/en>;rel="memento"; datetime="Wed, 30 Jul 2014 18:39:58 GMT"
,<http://web.archive.org/web/20140730184000/http://line.me/en/>;rel="memento"; datetime="Wed, 30 Jul 2014 18:40:00 GMT"
,<http://web.archive.org/web/20140730184956/http://line.me/en>;rel="memento"; datetime="Wed, 30 Jul 2014 18:49:56 GMT"
,<http://web.archive.org/web/20140730184958/http://line.me/en/>;rel="memento"; datetime="Wed, 30 Jul 2014 18:49:58 GMT"
,<http://web.archive.org/web/20140731032158/http://line.me/en/>;rel="memento"; datetime="Thu, 31 Jul 2014 03:21:58 GMT"
,<http://web.archive.org/web/20140731162746/http://line.me/en>;rel="memento"; datetime="Thu, 31 Jul 2014 16:27:46 GMT"
,<http://web.archive.org/web/20140731162747/http://line.me/en/>;rel="memento"; datetime="Thu, 31 Jul 2014 16:27:47 GMT"
,<http://web.archive.org/web/20140731231426/http://line.me/en>;rel="memento"; datetime="Thu, 31 Jul 2014 23:14:26 GMT"
,<http://web.archive.org/web/20140731231431/http://line.me/en/>;rel="memento"; datetime="Thu, 31 Jul 2014 23:14:31 GMT"
,<http://web.archive.org/web/20140801045330/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 04:53:30 GMT"
,<http://web.archive.org/web/20140801075706/http://line.me/en>;rel="memento"; datetime="Fri, 01 Aug 2014 07:57:06 GMT"
,<http://web.archive.org/web/20140801075707/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 07:57:07 GMT"
,<http://web.archive.org/web/20140801094106/http://line.me/en>;rel="memento"; datetime="Fri, 01 Aug 2014 09:41:06 GMT"
,<http://web.archive.org/web/20140801094107/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 09:41:07 GMT"
,<http://web.archive.org/web/20140801143843/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 14:38:43 GMT"
,<http://web.archive.org/web/20140801162747/http://line.me/en>;rel="memento"; datetime="Fri, 01 Aug 2014 16:27:47 GMT"
,<http://web.archive.org/web/20140801162749/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 16:27:49 GMT"
,<http://web.archive.org/web/20140801175312/http://line.me/en>;rel="memento"; datetime="Fri, 01 Aug 2014 17:53:12 GMT"
,<http://web.archive.org/web/20140801175416/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 17:54:16 GMT"
,<http://web.archive.org/web/20140801200300/http://line.me/en>;rel="memento"; datetime="Fri, 01 Aug 2014 20:03:00 GMT"
,<http://web.archive.org/web/20140801200301/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 20:03:01 GMT"
,<http://web.archive.org/web/20140801220051/http://line.me/en>;rel="memento"; datetime="Fri, 01 Aug 2014 22:00:51 GMT"
,<http://web.archive.org/web/20140801220055/http://line.me/en/>;rel="memento"; datetime="Fri, 01 Aug 2014 22:00:55 GMT"
,<http://web.archive.org/web/20140802005926/http://line.me/en>;rel="memento"; datetime="Sat, 02 Aug 2014 00:59:26 GMT"
,<http://web.archive.org/web/20140802005927/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 00:59:27 GMT"
,<http://web.archive.org/web/20140802013926/http://line.me/en>;rel="memento"; datetime="Sat, 02 Aug 2014 01:39:26 GMT"
,<http://web.archive.org/web/20140802013929/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 01:39:29 GMT"
,<http://web.archive.org/web/20140802042021/http://line.me/en>;rel="memento"; datetime="Sat, 02 Aug 2014 04:20:21 GMT"
,<http://web.archive.org/web/20140802042022/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 04:20:22 GMT"
,<http://web.archive.org/web/20140802112942/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 11:29:42 GMT"
,<http://web.archive.org/web/20140802122334/http://line.me/en>;rel="memento"; datetime="Sat, 02 Aug 2014 12:23:34 GMT"
,<http://web.archive.org/web/20140802122335/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 12:23:35 GMT"
,<http://web.archive.org/web/20140802125737/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 12:57:37 GMT"
,<http://web.archive.org/web/20140802140514/http://line.me/en>;rel="memento"; datetime="Sat, 02 Aug 2014 14:05:14 GMT"
,<http://web.archive.org/web/20140802140515/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 14:05:15 GMT"
,<http://web.archive.org/web/20140802161609/http://line.me/en>;rel="memento"; datetime="Sat, 02 Aug 2014 16:16:09 GMT"
,<http://web.archive.org/web/20140802161611/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 16:16:11 GMT"
,<http://web.archive.org/web/20140802230715/http://line.me/en>;rel="memento"; datetime="Sat, 02 Aug 2014 23:07:15 GMT"
,<http://web.archive.org/web/20140802230717/http://line.me/en/>;rel="memento"; datetime="Sat, 02 Aug 2014 23:07:17 GMT"
,<http://web.archive.org/web/20140803075501/http://line.me/en>;rel="memento"; datetime="Sun, 03 Aug 2014 07:55:01 GMT"
,<http://web.archive.org/web/20140803075502/http://line.me/en/>;rel="memento"; datetime="Sun, 03 Aug 2014 07:55:02 GMT"
,<http://web.archive.org/web/20140803123040/http://line.me/en>;rel="memento"; datetime="Sun, 03 Aug 2014 12:30:40 GMT"
,<http://web.archive.org/web/20140803123041/http://line.me/en/>;rel="memento"; datetime="Sun, 03 Aug 2014 12:30:41 GMT"
,<http://web.archive.org/web/20140803165455/http://line.me/en>;rel="memento"; datetime="Sun, 03 Aug 2014 16:54:55 GMT"
,<http://web.archive.org/web/20140803165456/http://line.me/en/>;rel="memento"; datetime="Sun, 03 Aug 2014 16:54:56 GMT"
,<http://web.archive.org/web/20140803183755/http://line.me/en>;rel="memento"; datetime="Sun, 03 Aug 2014 18:37:55 GMT"
,<http://web.archive.org/web/20140803183756/http://line.me/en/>;rel="memento"; datetime="Sun, 03 Aug 2014 18:37:56 GMT"
,<http://web.archive.org/web/20140803212420/http://line.me/en>;rel="memento"; datetime="Sun, 03 Aug 2014 21:24:20 GMT"
,<http://web.archive.org/web/20140803212428/http://line.me/en/>;rel="memento"; datetime="Sun, 03 Aug 2014 21:24:28 GMT"
,<http://web.archive.org/web/20140804020516/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 02:05:16 GMT"
,<http://web.archive.org/web/20140804020520/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 02:05:20 GMT"
,<http://web.archive.org/web/20140804030429/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 03:04:29 GMT"
,<http://web.archive.org/web/20140804040023/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 04:00:23 GMT"
,<http://web.archive.org/web/20140804040028/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 04:00:28 GMT"
,<http://web.archive.org/web/20140804075801/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 07:58:01 GMT"
,<http://web.archive.org/web/20140804075803/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 07:58:03 GMT"
,<http://web.archive.org/web/20140804122714/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 12:27:14 GMT"
,<http://web.archive.org/web/20140804122715/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 12:27:15 GMT"
,<http://web.archive.org/web/20140804165414/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 16:54:14 GMT"
,<http://web.archive.org/web/20140804165416/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 16:54:16 GMT"
,<http://web.archive.org/web/20140804203316/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 20:33:16 GMT"
,<http://web.archive.org/web/20140804203318/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 20:33:18 GMT"
,<http://web.archive.org/web/20140804223551/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 22:35:51 GMT"
,<http://web.archive.org/web/20140804223552/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 22:35:52 GMT"
,<http://web.archive.org/web/20140804225631/http://line.me/en>;rel="memento"; datetime="Mon, 04 Aug 2014 22:56:31 GMT"
,<http://web.archive.org/web/20140804225633/http://line.me/en/>;rel="memento"; datetime="Mon, 04 Aug 2014 22:56:33 GMT"
,<http://web.archive.org/web/20140805032549/http://line.me/en>;rel="memento"; datetime="Tue, 05 Aug 2014 03:25:49 GMT"
,<http://web.archive.org/web/20140805032550/http://line.me/en/>;rel="memento"; datetime="Tue, 05 Aug 2014 03:25:50 GMT"
,<http://web.archive.org/web/20140805040042/http://line.me/en/>;rel="memento"; datetime="Tue, 05 Aug 2014 04:00:42 GMT"
,<http://web.archive.org/web/20140805154743/http://line.me/en>;rel="memento"; datetime="Tue, 05 Aug 2014 15:47:43 GMT"
,<http://web.archive.org/web/20140805154744/http://line.me/en/>;rel="memento"; datetime="Tue, 05 Aug 2014 15:47:44 GMT"
,<http://web.archive.org/web/20140805235201/http://line.me/en>;rel="memento"; datetime="Tue, 05 Aug 2014 23:52:01 GMT"
,<http://web.archive.org/web/20140805235203/http://line.me/en/>;rel="memento"; datetime="Tue, 05 Aug 2014 23:52:03 GMT"
,<http://web.archive.org/web/20140806020254/http://line.me/en>;rel="memento"; datetime="Wed, 06 Aug 2014 02:02:54 GMT"
,<http://web.archive.org/web/20140806020255/http://line.me/en/>;rel="memento"; datetime="Wed, 06 Aug 2014 02:02:55 GMT"
,<http://web.archive.org/web/20140806065817/http://line.me/en>;rel="memento"; datetime="Wed, 06 Aug 2014 06:58:17 GMT"
,<http://web.archive.org/web/20140806065820/http://line.me/en/>;rel="memento"; datetime="Wed, 06 Aug 2014 06:58:20 GMT"
,<http://web.archive.org/web/20140806184803/http://line.me/en>;rel="memento"; datetime="Wed, 06 Aug 2014 18:48:03 GMT"
,<http://web.archive.org/web/20140806184805/http://line.me/en/>;rel="memento"; datetime="Wed, 06 Aug 2014 18:48:05 GMT"
,<http://web.archive.org/web/20140807024802/http://line.me/en>;rel="memento"; datetime="Thu, 07 Aug 2014 02:48:02 GMT"
,<http://web.archive.org/web/20140807024803/http://line.me/en/>;rel="memento"; datetime="Thu, 07 Aug 2014 02:48:03 GMT"
,<http://web.archive.org/web/20140807050757/http://line.me/en>;rel="memento"; datetime="Thu, 07 Aug 2014 05:07:57 GMT"
,<http://web.archive.org/web/20140807050758/http://line.me/en/>;rel="memento"; datetime="Thu, 07 Aug 2014 05:07:58 GMT"
,<http://web.archive.org/web/20140807211343/http://line.me/en>;rel="memento"; datetime="Thu, 07 Aug 2014 21:13:43 GMT"
,<http://web.archive.org/web/20140807211344/http://line.me/en/>;rel="memento"; datetime="Thu, 07 Aug 2014 21:13:44 GMT"
,<http://web.archive.org/web/20140807230444/http://line.me/en>;rel="memento"; datetime="Thu, 07 Aug 2014 23:04:44 GMT"
,<http://web.archive.org/web/20140807230446/http://line.me/en/>;rel="memento"; datetime="Thu, 07 Aug 2014 23:04:46 GMT"
,<http://web.archive.org/web/20140808052013/http://line.me/en/>;rel="memento"; datetime="Fri, 08 Aug 2014 05:20:13 GMT"
,<http://web.archive.org/web/20140808062529/http://line.me/en>;rel="memento"; datetime="Fri, 08 Aug 2014 06:25:29 GMT"
,<http://web.archive.org/web/20140808062530/http://line.me/en/>;rel="memento"; datetime="Fri, 08 Aug 2014 06:25:30 GMT"
,<http://web.archive.org/web/20140808094151/http://line.me/en>;rel="memento"; datetime="Fri, 08 Aug 2014 09:41:51 GMT"
,<http://web.archive.org/web/20140808094153/http://line.me/en/>;rel="memento"; datetime="Fri, 08 Aug 2014 09:41:53 GMT"
,<http://web.archive.org/web/20140808135954/http://line.me/en>;rel="memento"; datetime="Fri, 08 Aug 2014 13:59:54 GMT"
,<http://web.archive.org/web/20140808135955/http://line.me/en/>;rel="memento"; datetime="Fri, 08 Aug 2014 13:59:55 GMT"
,<http://web.archive.org/web/20140808204637/http://line.me/en>;rel="memento"; datetime="Fri, 08 Aug 2014 20:46:37 GMT"
,<http://web.archive.org/web/20140808204639/http://line.me/en/>;rel="memento"; datetime="Fri, 08 Aug 2014 20:46:39 GMT"
,<http://web.archive.org/web/20140809015945/http://line.me/en>;rel="memento"; datetime="Sat, 09 Aug 2014 01:59:45 GMT"
,<http://web.archive.org/web/20140809015946/http://line.me/en/>;rel="memento"; datetime="Sat, 09 Aug 2014 01:59:46 GMT"
,<http://web.archive.org/web/20140809070458/http://line.me/en>;rel="memento"; datetime="Sat, 09 Aug 2014 07:04:58 GMT"
,<http://web.archive.org/web/20140809070459/http://line.me/en/>;rel="memento"; datetime="Sat, 09 Aug 2014 07:04:59 GMT"
,<http://web.archive.org/web/20140809094819/http://line.me/en>;rel="memento"; datetime="Sat, 09 Aug 2014 09:48:19 GMT"
,<http://web.archive.org/web/20140809094820/http://line.me/en/>;rel="memento"; datetime="Sat, 09 Aug 2014 09:48:20 GMT"
,<http://web.archive.org/web/20140809105140/http://line.me/en>;rel="memento"; datetime="Sat, 09 Aug 2014 10:51:40 GMT"
,<http://web.archive.org/web/20140809105141/http://line.me/en/>;rel="memento"; datetime="Sat, 09 Aug 2014 10:51:41 GMT"
,<http://web.archive.org/web/20140809110839/http://line.me/en>;rel="memento"; datetime="Sat, 09 Aug 2014 11:08:39 GMT"
,<http://web.archive.org/web/20140809110840/http://line.me/en/>;rel="memento"; datetime="Sat, 09 Aug 2014 11:08:40 GMT"
,<http://web.archive.org/web/20140809132323/http://line.me/en>;rel="memento"; datetime="Sat, 09 Aug 2014 13:23:23 GMT"
,<http://web.archive.org/web/20140809132324/http://line.me/en/>;rel="memento"; datetime="Sat, 09 Aug 2014 13:23:24 GMT"
,<http://web.archive.org/web/20140810062942/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 06:29:42 GMT"
,<http://web.archive.org/web/20140810092459/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 09:24:59 GMT"
,<http://web.archive.org/web/20140810092500/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 09:25:00 GMT"
,<http://web.archive.org/web/20140810110108/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 11:01:08 GMT"
,<http://web.archive.org/web/20140810110110/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 11:01:10 GMT"
,<http://web.archive.org/web/20140810130533/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 13:05:33 GMT"
,<http://web.archive.org/web/20140810130534/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 13:05:34 GMT"
,<http://web.archive.org/web/20140810162130/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 16:21:30 GMT"
,<http://web.archive.org/web/20140810162131/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 16:21:31 GMT"
,<http://web.archive.org/web/20140810204425/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 20:44:25 GMT"
,<http://web.archive.org/web/20140810204426/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 20:44:26 GMT"
,<http://web.archive.org/web/20140810213604/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 21:36:04 GMT"
,<http://web.archive.org/web/20140810213605/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 21:36:05 GMT"
,<http://web.archive.org/web/20140810223932/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 22:39:32 GMT"
,<http://web.archive.org/web/20140810223933/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 22:39:33 GMT"
,<http://web.archive.org/web/20140810235647/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 23:56:47 GMT"
,<http://web.archive.org/web/20140810235648/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 23:56:48 GMT"
,<http://web.archive.org/web/20140810235831/http://line.me/en>;rel="memento"; datetime="Sun, 10 Aug 2014 23:58:31 GMT"
,<http://web.archive.org/web/20140810235833/http://line.me/en/>;rel="memento"; datetime="Sun, 10 Aug 2014 23:58:33 GMT"
,<http://web.archive.org/web/20140811121327/http://line.me/en>;rel="memento"; datetime="Mon, 11 Aug 2014 12:13:27 GMT"
,<http://web.archive.org/web/20140811121328/http://line.me/en/>;rel="memento"; datetime="Mon, 11 Aug 2014 12:13:28 GMT"
,<http://web.archive.org/web/20140811123941/http://line.me/en>;rel="memento"; datetime="Mon, 11 Aug 2014 12:39:41 GMT"
,<http://web.archive.org/web/20140811123942/http://line.me/en/>;rel="memento"; datetime="Mon, 11 Aug 2014 12:39:42 GMT"
,<http://web.archive.org/web/20140811131259/http://line.me/en>;rel="memento"; datetime="Mon, 11 Aug 2014 13:12:59 GMT"
,<http://web.archive.org/web/20140811131301/http://line.me/en/>;rel="memento"; datetime="Mon, 11 Aug 2014 13:13:01 GMT"
,<http://web.archive.org/web/20140811162222/http://line.me/en>;rel="memento"; datetime="Mon, 11 Aug 2014 16:22:22 GMT"
,<http://web.archive.org/web/20140811162223/http://line.me/en/>;rel="memento"; datetime="Mon, 11 Aug 2014 16:22:23 GMT"
,<http://web.archive.org/web/20140811192618/http://line.me/en>;rel="memento"; datetime="Mon, 11 Aug 2014 19:26:18 GMT"
,<http://web.archive.org/web/20140811192619/http://line.me/en/>;rel="memento"; datetime="Mon, 11 Aug 2014 19:26:19 GMT"
,<http://web.archive.org/web/20140812001136/http://line.me/en>;rel="memento"; datetime="Tue, 12 Aug 2014 00:11:36 GMT"
,<http://web.archive.org/web/20140812001138/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 00:11:38 GMT"
,<http://web.archive.org/web/20140812033016/http://line.me/en>;rel="memento"; datetime="Tue, 12 Aug 2014 03:30:16 GMT"
,<http://web.archive.org/web/20140812033018/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 03:30:18 GMT"
,<http://web.archive.org/web/20140812080221/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 08:02:21 GMT"
,<http://web.archive.org/web/20140812091006/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 09:10:06 GMT"
,<http://web.archive.org/web/20140812095111/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 09:51:11 GMT"
,<http://web.archive.org/web/20140812104421/http://line.me/en>;rel="memento"; datetime="Tue, 12 Aug 2014 10:44:21 GMT"
,<http://web.archive.org/web/20140812104425/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 10:44:25 GMT"
,<http://web.archive.org/web/20140812154933/http://line.me/en>;rel="memento"; datetime="Tue, 12 Aug 2014 15:49:33 GMT"
,<http://web.archive.org/web/20140812154934/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 15:49:34 GMT"
,<http://web.archive.org/web/20140812194855/http://line.me/en>;rel="memento"; datetime="Tue, 12 Aug 2014 19:48:55 GMT"
,<http://web.archive.org/web/20140812194856/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 19:48:56 GMT"
,<http://web.archive.org/web/20140812201511/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 20:15:11 GMT"
,<http://web.archive.org/web/20140812210855/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 21:08:55 GMT"
,<http://web.archive.org/web/20140812233742/http://line.me/en>;rel="memento"; datetime="Tue, 12 Aug 2014 23:37:42 GMT"
,<http://web.archive.org/web/20140812233743/http://line.me/en/>;rel="memento"; datetime="Tue, 12 Aug 2014 23:37:43 GMT"
,<http://web.archive.org/web/20140813053020/http://line.me/en/>;rel="memento"; datetime="Wed, 13 Aug 2014 05:30:20 GMT"
,<http://web.archive.org/web/20140813093103/http://line.me/en/>;rel="memento"; datetime="Wed, 13 Aug 2014 09:31:03 GMT"
,<http://web.archive.org/web/20140813181919/http://line.me/en>;rel="memento"; datetime="Wed, 13 Aug 2014 18:19:19 GMT"
,<http://web.archive.org/web/20140813181920/http://line.me/en/>;rel="memento"; datetime="Wed, 13 Aug 2014 18:19:20 GMT"
,<http://web.archive.org/web/20140813231025/http://line.me/en>;rel="memento"; datetime="Wed, 13 Aug 2014 23:10:25 GMT"
,<http://web.archive.org/web/20140813231026/http://line.me/en/>;rel="memento"; datetime="Wed, 13 Aug 2014 23:10:26 GMT"
,<http://web.archive.org/web/20140814033157/http://line.me/en>;rel="memento"; datetime="Thu, 14 Aug 2014 03:31:57 GMT"
,<http://web.archive.org/web/20140814033158/http://line.me/en/>;rel="memento"; datetime="Thu, 14 Aug 2014 03:31:58 GMT"
,<http://web.archive.org/web/20140814210939/http://line.me/en>;rel="memento"; datetime="Thu, 14 Aug 2014 21:09:39 GMT"
,<http://web.archive.org/web/20140814210940/http://line.me/en/>;rel="memento"; datetime="Thu, 14 Aug 2014 21:09:40 GMT"
,<http://web.archive.org/web/20140814234129/http://line.me/en>;rel="memento"; datetime="Thu, 14 Aug 2014 23:41:29 GMT"
,<http://web.archive.org/web/20140814234131/http://line.me/en/>;rel="memento"; datetime="Thu, 14 Aug 2014 23:41:31 GMT"
,<http://web.archive.org/web/20140815001552/http://line.me/en/>;rel="memento"; datetime="Fri, 15 Aug 2014 00:15:52 GMT"
,<http://web.archive.org/web/20140815031050/http://line.me/en>;rel="memento"; datetime="Fri, 15 Aug 2014 03:10:50 GMT"
,<http://web.archive.org/web/20140815031051/http://line.me/en/>;rel="memento"; datetime="Fri, 15 Aug 2014 03:10:51 GMT"
,<http://web.archive.org/web/20140815081157/http://line.me/en>;rel="memento"; datetime="Fri, 15 Aug 2014 08:11:57 GMT"
,<http://web.archive.org/web/20140815081158/http://line.me/en/>;rel="memento"; datetime="Fri, 15 Aug 2014 08:11:58 GMT"
,<http://web.archive.org/web/20140815160159/http://line.me/en>;rel="memento"; datetime="Fri, 15 Aug 2014 16:01:59 GMT"
