<https://www.youtube.com/user/tyleroakley>;rel="original"
, <http://web.archive.org/web/20130910204351/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 10 Sep 2013 16:43:51 GMT"
, <http://wayback.archive-it.org/all/20130911212436/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 11 Sep 2013 17:24:36 GMT"
, <http://wayback.archive-it.org/all/20130918082827/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 18 Sep 2013 04:28:27 GMT"
, <http://web.archive.org/web/20130919072010/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 19 Sep 2013 03:20:10 GMT"
, <http://wayback.archive-it.org/all/20130920062731/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 20 Sep 2013 02:27:31 GMT"
, <http://web.archive.org/web/20130922154457/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 22 Sep 2013 11:44:57 GMT"
, <http://web.archive.org/web/20130924182408/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 24 Sep 2013 14:24:08 GMT"
, <http://web.archive.org/web/20131004161615/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 04 Oct 2013 12:16:15 GMT"
, <http://web.archive.org/web/20131004171847/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 04 Oct 2013 13:18:47 GMT"
, <http://web.archive.org/web/20131006193429/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 06 Oct 2013 15:34:29 GMT"
, <http://wayback.archive-it.org/all/20131011221447/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 11 Oct 2013 18:14:47 GMT"
, <http://web.archive.org/web/20131015195503/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 15 Oct 2013 15:55:03 GMT"
, <http://wayback.archive-it.org/all/20131018023706/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 17 Oct 2013 22:37:06 GMT"
, <http://wayback.archive-it.org/all/20131019130638/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 19 Oct 2013 09:06:38 GMT"
, <http://wayback.archive-it.org/all/20131019162202/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 19 Oct 2013 12:22:02 GMT"
, <http://wayback.archive-it.org/all/20131019195317/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 19 Oct 2013 15:53:17 GMT"
, <http://wayback.archive-it.org/all/20131020040230/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 20 Oct 2013 00:02:30 GMT"
, <http://wayback.archive-it.org/all/20131020163847/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 20 Oct 2013 12:38:47 GMT"
, <http://wayback.archive-it.org/all/20131021042411/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 21 Oct 2013 00:24:11 GMT"
, <http://wayback.archive-it.org/all/20131028030749/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 27 Oct 2013 23:07:49 GMT"
, <http://web.archive.org/web/20131104220150/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 04 Nov 2013 17:01:50 GMT"
, <http://web.archive.org/web/20131107040203/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 06 Nov 2013 23:02:03 GMT"
, <http://wayback.archive-it.org/all/20131109145000/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 09 Nov 2013 09:50:00 GMT"
, <https://swap.stanford.edu/20131110114801/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 10 Nov 2013 06:48:01 GMT"
, <http://web.archive.org/web/20131128211203/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 28 Nov 2013 16:12:03 GMT"
, <http://web.archive.org/web/20131207123446/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 07 Dec 2013 07:34:46 GMT"
, <http://web.archive.org/web/20131213094314/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 13 Dec 2013 04:43:14 GMT"
, <http://wayback.archive-it.org/all/20131214164024/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 14 Dec 2013 11:40:24 GMT"
, <http://wayback.archive-it.org/all/20131219093305/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 19 Dec 2013 04:33:05 GMT"
, <http://web.archive.org/web/20140104223609/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 04 Jan 2014 17:36:09 GMT"
, <http://web.archive.org/web/20140105031919/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 04 Jan 2014 22:19:19 GMT"
, <http://wayback.archive-it.org/all/20140105144328/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 05 Jan 2014 09:43:28 GMT"
, <http://wayback.archive-it.org/all/20140107020740/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 06 Jan 2014 21:07:40 GMT"
, <http://wayback.archive-it.org/all/20140109080119/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 09 Jan 2014 03:01:19 GMT"
, <http://wayback.archive-it.org/all/20140118234521/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 18 Jan 2014 18:45:21 GMT"
, <http://web.archive.org/web/20140119083749/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 19 Jan 2014 03:37:49 GMT"
, <http://wayback.archive-it.org/all/20140124081958/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 24 Jan 2014 03:19:58 GMT"
, <http://wayback.archive-it.org/all/20140127061721/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 27 Jan 2014 01:17:21 GMT"
, <http://web.archive.org/web/20140127142931/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 27 Jan 2014 09:29:31 GMT"
, <http://web.archive.org/web/20140131064056/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 31 Jan 2014 01:40:56 GMT"
, <http://web.archive.org/web/20140203063120/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 03 Feb 2014 01:31:20 GMT"
, <http://web.archive.org/web/20140208000219/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 07 Feb 2014 19:02:19 GMT"
, <http://web.archive.org/web/20140208003418/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 07 Feb 2014 19:34:18 GMT"
, <http://web.archive.org/web/20140208030148/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 07 Feb 2014 22:01:48 GMT"
, <http://web.archive.org/web/20140209062607/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 09 Feb 2014 01:26:07 GMT"
, <http://wayback.archive-it.org/all/20140211053652/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 11 Feb 2014 00:36:52 GMT"
, <http://web.archive.org/web/20140213022320/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 12 Feb 2014 21:23:20 GMT"
, <http://web.archive.org/web/20140216032337/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 15 Feb 2014 22:23:37 GMT"
, <http://web.archive.org/web/20140221165922/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 21 Feb 2014 11:59:22 GMT"
, <http://web.archive.org/web/20140223080822/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 23 Feb 2014 03:08:22 GMT"
, <http://web.archive.org/web/20140223195538/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 23 Feb 2014 14:55:38 GMT"
, <http://wayback.archive-it.org/all/20140226130454/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Feb 2014 08:04:54 GMT"
, <http://wayback.archive-it.org/all/20140226132857/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Feb 2014 08:28:57 GMT"
, <http://wayback.archive-it.org/all/20140227013523/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Feb 2014 20:35:23 GMT"
, <http://web.archive.org/web/20140228170811/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 28 Feb 2014 12:08:11 GMT"
, <http://wayback.archive-it.org/all/20140301212801/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 01 Mar 2014 16:28:01 GMT"
, <http://wayback.archive-it.org/all/20140305135517/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 05 Mar 2014 08:55:17 GMT"
, <http://web.archive.org/web/20140307071538/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 07 Mar 2014 02:15:38 GMT"
, <http://web.archive.org/web/20140307143742/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 07 Mar 2014 09:37:42 GMT"
, <http://web.archive.org/web/20140308054602/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 08 Mar 2014 00:46:02 GMT"
, <http://web.archive.org/web/20140308074435/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 08 Mar 2014 02:44:35 GMT"
, <http://web.archive.org/web/20140309063037/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 09 Mar 2014 01:30:37 GMT"
, <http://wayback.archive-it.org/all/20140310081127/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 10 Mar 2014 04:11:27 GMT"
, <http://web.archive.org/web/20140311063311/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 11 Mar 2014 02:33:11 GMT"
, <http://wayback.archive-it.org/all/20140311141550/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 11 Mar 2014 10:15:50 GMT"
, <http://web.archive.org/web/20140311220942/http://youtube.com/user/Tyleroakley>;rel="memento"; datetime="Tue, 11 Mar 2014 18:09:42 GMT"
, <http://wayback.archive-it.org/all/20140312140803/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 12 Mar 2014 10:08:03 GMT"
, <http://web.archive.org/web/20140314121811/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 14 Mar 2014 08:18:11 GMT"
, <http://web.archive.org/web/20140314193732/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 14 Mar 2014 15:37:32 GMT"
, <http://web.archive.org/web/20140315081241/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 15 Mar 2014 04:12:41 GMT"
, <http://web.archive.org/web/20140316044323/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 16 Mar 2014 00:43:23 GMT"
, <http://web.archive.org/web/20140318234813/http://www.youtube.com/user/TylerOakley?>;rel="memento"; datetime="Tue, 18 Mar 2014 19:48:13 GMT"
, <http://wayback.archive-it.org/all/20140319125925/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 19 Mar 2014 08:59:25 GMT"
, <http://wayback.archive-it.org/all/20140321093235/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 21 Mar 2014 05:32:35 GMT"
, <http://web.archive.org/web/20140321154716/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 21 Mar 2014 11:47:16 GMT"
, <http://web.archive.org/web/20140321230831/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 21 Mar 2014 19:08:31 GMT"
, <http://web.archive.org/web/20140326000440/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 25 Mar 2014 20:04:40 GMT"
, <http://web.archive.org/web/20140326093629/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Mar 2014 05:36:29 GMT"
, <http://web.archive.org/web/20140326174417/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 26 Mar 2014 13:44:17 GMT"
, <http://wayback.archive-it.org/all/20140328080120/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 28 Mar 2014 04:01:20 GMT"
, <http://web.archive.org/web/20140328151236/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 28 Mar 2014 11:12:36 GMT"
, <http://web.archive.org/web/20140329233525/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 29 Mar 2014 19:35:25 GMT"
, <http://web.archive.org/web/20140330072323/http://www.youtube.com/user/tyleroakley/>;rel="memento"; datetime="Sun, 30 Mar 2014 03:23:23 GMT"
, <http://wayback.archive-it.org/all/20140330074537/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 30 Mar 2014 03:45:37 GMT"
, <http://wayback.archive-it.org/all/20140402212323/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 02 Apr 2014 17:23:23 GMT"
, <http://web.archive.org/web/20140404134443/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 04 Apr 2014 09:44:43 GMT"
, <http://web.archive.org/web/20140408235529/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 08 Apr 2014 19:55:29 GMT"
, <http://web.archive.org/web/20140409235647/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 09 Apr 2014 19:56:47 GMT"
, <http://web.archive.org/web/20140411035248/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 10 Apr 2014 23:52:48 GMT"
, <http://web.archive.org/web/20140411143355/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 11 Apr 2014 10:33:55 GMT"
, <http://web.archive.org/web/20140412035353/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 11 Apr 2014 23:53:53 GMT"
, <http://web.archive.org/web/20140413023701/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 12 Apr 2014 22:37:01 GMT"
, <http://web.archive.org/web/20140414031345/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 13 Apr 2014 23:13:45 GMT"
, <http://web.archive.org/web/20140418140407/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 18 Apr 2014 10:04:07 GMT"
, <http://web.archive.org/web/20140425145046/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 25 Apr 2014 10:50:46 GMT"
, <http://web.archive.org/web/20140502152007/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 02 May 2014 11:20:07 GMT"
, <http://wayback.archive-it.org/all/20140508161048/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 08 May 2014 12:10:48 GMT"
, <http://web.archive.org/web/20140510175317/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 10 May 2014 13:53:17 GMT"
, <http://wayback.archive-it.org/all/20140512080640/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 12 May 2014 04:06:40 GMT"
, <http://web.archive.org/web/20140516224830/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 16 May 2014 18:48:30 GMT"
, <http://web.archive.org/web/20140523223459/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 23 May 2014 18:34:59 GMT"
, <http://web.archive.org/web/20140524192708/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 24 May 2014 15:27:08 GMT"
, <http://web.archive.org/web/20140530232631/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 30 May 2014 19:26:31 GMT"
, <http://wayback.archive-it.org/all/20140531200324/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 31 May 2014 16:03:24 GMT"
, <http://web.archive.org/web/20140601055630/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 01 Jun 2014 01:56:30 GMT"
, <http://web.archive.org/web/20140602050053/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 02 Jun 2014 01:00:53 GMT"
, <http://web.archive.org/web/20140607003529/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 06 Jun 2014 20:35:29 GMT"
, <http://web.archive.org/web/20140608071411/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 08 Jun 2014 03:14:11 GMT"
, <http://wayback.archive-it.org/all/20140608192310/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 08 Jun 2014 15:23:10 GMT"
, <http://web.archive.org/web/20140609045712/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 09 Jun 2014 00:57:12 GMT"
, <http://web.archive.org/web/20140611091333/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 11 Jun 2014 05:13:33 GMT"
, <http://wayback.archive-it.org/all/20140612022155/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 11 Jun 2014 22:21:55 GMT"
, <http://wayback.archive-it.org/all/20140612022205/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 11 Jun 2014 22:22:05 GMT"
, <http://web.archive.org/web/20140612114128/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 12 Jun 2014 07:41:28 GMT"
, <http://web.archive.org/web/20140614002435/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 13 Jun 2014 20:24:35 GMT"
, <http://web.archive.org/web/20140614004851/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 13 Jun 2014 20:48:51 GMT"
, <http://wayback.archive-it.org/all/20140614153534/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 14 Jun 2014 11:35:34 GMT"
, <http://web.archive.org/web/20140617060818/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 17 Jun 2014 02:08:18 GMT"
, <http://wayback.archive-it.org/all/20140617115943/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 17 Jun 2014 07:59:43 GMT"
, <http://web.archive.org/web/20140617134527/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 17 Jun 2014 09:45:27 GMT"
, <http://web.archive.org/web/20140620231827/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 20 Jun 2014 19:18:27 GMT"
, <http://web.archive.org/web/20140621023123/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 20 Jun 2014 22:31:23 GMT"
, <http://wayback.archive-it.org/all/20140624103256/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 24 Jun 2014 06:32:56 GMT"
, <http://web.archive.org/web/20140625041044/http://youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 25 Jun 2014 00:10:44 GMT"
, <http://web.archive.org/web/20140625041436/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 25 Jun 2014 00:14:36 GMT"
, <http://web.archive.org/web/20140625110609/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 25 Jun 2014 07:06:09 GMT"
, <http://wayback.archive-it.org/all/20140626174619/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 26 Jun 2014 13:46:19 GMT"
, <http://web.archive.org/web/20140628131619/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 28 Jun 2014 09:16:19 GMT"
, <http://web.archive.org/web/20140628205523/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 28 Jun 2014 16:55:23 GMT"
, <http://wayback.archive-it.org/all/20140701235001/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 01 Jul 2014 19:50:01 GMT"
, <http://web.archive.org/web/20140702193411/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 02 Jul 2014 15:34:11 GMT"
, <http://web.archive.org/web/20140704220928/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 04 Jul 2014 18:09:28 GMT"
, <http://web.archive.org/web/20140705052844/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 05 Jul 2014 01:28:44 GMT"
, <http://web.archive.org/web/20140705192019/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 05 Jul 2014 15:20:19 GMT"
, <http://web.archive.org/web/20140705193932/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 05 Jul 2014 15:39:32 GMT"
, <http://web.archive.org/web/20140706081211/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 06 Jul 2014 04:12:11 GMT"
, <http://web.archive.org/web/20140707052757/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 07 Jul 2014 01:27:57 GMT"
, <http://wayback.archive-it.org/all/20140708110422/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 08 Jul 2014 07:04:22 GMT"
, <http://web.archive.org/web/20140708112143/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 08 Jul 2014 07:21:43 GMT"
, <http://web.archive.org/web/20140711005103/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 10 Jul 2014 20:51:03 GMT"
, <http://web.archive.org/web/20140711024011/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 10 Jul 2014 22:40:11 GMT"
, <http://web.archive.org/web/20140712035929/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 11 Jul 2014 23:59:29 GMT"
, <http://web.archive.org/web/20140713190208/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 13 Jul 2014 15:02:08 GMT"
, <http://web.archive.org/web/20140714125812/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 14 Jul 2014 08:58:12 GMT"
, <http://wayback.archive-it.org/all/20140714153700/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 14 Jul 2014 11:37:00 GMT"
, <http://wayback.archive-it.org/all/20140715132107/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 15 Jul 2014 09:21:07 GMT"
, <http://web.archive.org/web/20140715200535/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 15 Jul 2014 16:05:35 GMT"
, <http://web.archive.org/web/20140719063324/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 19 Jul 2014 02:33:24 GMT"
, <http://wayback.archive-it.org/all/20140723044025/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 23 Jul 2014 00:40:25 GMT"
, <http://web.archive.org/web/20140723155251/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 23 Jul 2014 11:52:51 GMT"
, <http://web.archive.org/web/20140723165236/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 23 Jul 2014 12:52:36 GMT"
, <http://web.archive.org/web/20140726172129/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 26 Jul 2014 13:21:29 GMT"
, <http://web.archive.org/web/20140727175444/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 27 Jul 2014 13:54:44 GMT"
, <http://web.archive.org/web/20140727180339/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 27 Jul 2014 14:03:39 GMT"
, <http://web.archive.org/web/20140727195430/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 27 Jul 2014 15:54:30 GMT"
, <http://web.archive.org/web/20140728163741/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 28 Jul 2014 12:37:41 GMT"
, <http://web.archive.org/web/20140728213923/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Mon, 28 Jul 2014 17:39:23 GMT"
, <http://web.archive.org/web/20140729193358/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 29 Jul 2014 15:33:58 GMT"
, <http://wayback.archive-it.org/all/20140730000943/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 29 Jul 2014 20:09:43 GMT"
, <http://wayback.archive-it.org/all/20140730000945/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 29 Jul 2014 20:09:45 GMT"
, <http://wayback.archive-it.org/all/20140730141242/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 30 Jul 2014 10:12:42 GMT"
, <http://wayback.archive-it.org/all/20140731042102/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 31 Jul 2014 00:21:02 GMT"
, <http://web.archive.org/web/20140731081602/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 31 Jul 2014 04:16:02 GMT"
, <http://web.archive.org/web/20140801025911/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 31 Jul 2014 22:59:11 GMT"
, <http://web.archive.org/web/20140801175853/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 01 Aug 2014 13:58:53 GMT"
, <http://web.archive.org/web/20140801175856/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 01 Aug 2014 13:58:56 GMT"
, <http://wayback.archive-it.org/all/20140802194136/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 02 Aug 2014 15:41:36 GMT"
, <http://wayback.archive-it.org/all/20140803125100/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 03 Aug 2014 08:51:00 GMT"
, <http://web.archive.org/web/20140803174353/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 03 Aug 2014 13:43:53 GMT"
, <http://web.archive.org/web/20140803215350/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 03 Aug 2014 17:53:50 GMT"
, <http://web.archive.org/web/20140803221001/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 03 Aug 2014 18:10:01 GMT"
, <http://wayback.archive-it.org/all/20140805184044/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Tue, 05 Aug 2014 14:40:44 GMT"
, <http://web.archive.org/web/20140806072350/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 06 Aug 2014 03:23:50 GMT"
, <http://wayback.archive-it.org/all/20140806074445/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 06 Aug 2014 03:44:45 GMT"
, <http://web.archive.org/web/20140806074851/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 06 Aug 2014 03:48:51 GMT"
, <http://wayback.archive-it.org/all/20140806153405/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 06 Aug 2014 11:34:05 GMT"
, <http://wayback.archive-it.org/all/20140807031138/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Wed, 06 Aug 2014 23:11:38 GMT"
, <http://web.archive.org/web/20140807102425/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 07 Aug 2014 06:24:25 GMT"
, <http://web.archive.org/web/20140807102428/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Thu, 07 Aug 2014 06:24:28 GMT"
, <http://web.archive.org/web/20140808140010/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 08 Aug 2014 10:00:10 GMT"
, <http://web.archive.org/web/20140808140013/https://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Fri, 08 Aug 2014 10:00:13 GMT"
, <http://web.archive.org/web/20140809100514/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sat, 09 Aug 2014 06:05:14 GMT"
, <http://web.archive.org/web/20140810123614/http://www.youtube.com/user/tyleroakley>;rel="memento"; datetime="Sun, 10 Aug 2014 08:36:14 GMT"
