Blog	fit	songwriter	size	needed	saying	nature	crowd	bottom	following	seriously	modest	dirty	learn	huge	paper	scott	research	singles	chorus	books	false	tape	problem	worth	era	production	apparently	ended	tomorrow	food	evening	obviously	similar	although	camera	actual	meet	university	key	http	liked	beats	movies	jack	personal	father	fuck	colband	themselves	label	tour	zero	welcome	chart	hair	quickly	excellent	parker	figure	jazz	cast	solo	sonic	questions	nick	meaning	include	g	joe	april	twitter	theme	score	date	data	definitions	padding	twin	act	imagine	relationship	sex	clearly	edition	drum	co	cm	tstyle	cd	moments	kept	minor	hall	en	ep	recorded	genre	gt	download	click	ben	bed	anyway	loud	near	www	language	bowie	audience	field	deluxe	titled	throughout	create	understand	bill	y	excited	per	groove	material	buy	starting	several	apart	classic	melody	smith	fucking	brain	table	series	worked	previous	brought	son	support	voices	awesome	hop	johnny	spring	uk	meant	player	interview	created	inspired	rhythm	happen	british	national	floor	thoughts	rules	instrumental	history	issue	station	sounded	win	remains	stories	features	featured	subject	mouse	human	text	bass	shot	nearly	general	members	recording	fans	matt	limited	onto	hearing	plus	focus	christmas	copy	unfortunately	ideas	college	alt	v	expect	river	van	whether	beauty	result	asked	tune	slightly	films	certain	elements	producer	produced	etc	indie	building	tried	singing	mentioned	coast	overall	orphan	career	effect	pt	due	starts	bar	thank	main	collection	mention	bear	alive	metal	characters	cambria	longer	quick	sessions	stream	acts	review	lack	aren	hip	various	became	women	pure	lead	june	golden	singer	dave	shadow	role	choice	internet	ascii	november	followed	archive	entire	process	length	festival	web	l	electronic	amount	musical	rowband	msonormaltable	peel	non	vocals	america	verse	using	learned	cave	feels	culture	pictures	missing	popular	wave	michael	ryan	tunes	widow	parts	previously	likely	recordings	fantastic	amazing	interest	seven	somehow	journey	round	visit	drummer	among	images	sitting	facebook	source	absolutely	epic	planet	access	despite	saturday	level	featuring	mood	okay	friday	electric	musicians	question	folk	feat	difficult	straight	noshow	episode	possible	possibly	unique	began	team	industry	image	site	content	section	pick	action	archives	information	w	session	synth	funny	recent	link	lyrics	led	lee	doubt	sister	hansi	dr	decade	indeed	entirely	mostly	concert	media	moved	fully	robert	towards	underground	seeing	himself	acoustic	points	shit	digital	effort	reading	margin	totally	guys	drums	spend	giving	pagination	lt	lp	terms	latest	studio	photo	greatest	weird	mso	pre	events	easily	included	september	added	pm	built	steve	particularly	january	guitarist	example	feature	desire	brilliant	bright	october	large	chicago	magic	wolf	system	listened	listener	ghost	total	south	brothers	certainly	presented	usually	truly	wonderful	damn	noise	perfectly	jeff	immediately	peter	orchestra	dog	changes	dreams	important	chris	compilation	f	february	mid	approach	games	gig	changed	continue	happened	gives	releases	missed	brother	latin	political	birthday	remix	july	piano	mike	present	whose	debut	boston	season	punk	pages	bandcamp	via	soundtrack	major	vocal	kill	society	eventually	forces	character	emotional	guitars	vinyl	begin	title	heaven	event	albums	performances	plays	control	quality	playlist	force	lights	definitely	theatre	normal	ray	parent	particular	youth	dad	dan	loved	lake	soft	venue	success	para	font	december	closer	simply
IoTube     :)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
The Power of Independent Trucking	21	7	6	13	4	7	2	5	25	3	1	6	8	9	9	0	1	15	5	1	3	68	25	17	28	6	9	19	6	2	4	17	11	1	0	28	7	7	11	1	15	4	0	0	2	1	12	1	33	64	27	5	3	0	1	14	6	0	6	4	1	9	11	2	7	4	4	2	7	15	0	9	1	13	2	1	1	3	15	15	2	0	17	17	17	12	0	2	143	10	8	11	5	3	42	173	3	12	25	6	24	5	10	16	16	1	1	4	16	9	11	10	6	6	15	7	6	6	10	12	68	13	23	35	12	48	24	1	51	2	4	28	19	15	12	0	7	11	10	0	10	13	25	9	4	20	4	1	15	8	2	0	2	17	1	27	26	11	3	15	4	5	3	16	40	3	1	2	1	68	2	38	10	13	148	20	3	11	7	11	1	5	1	26	8	3	21	2	7	14	15	1	6	9	8	19	2	12	0	14	1	24	12	35	25	2	8	7	19	2	22	1	11	6	5	23	5	6	8	15	15	12	4	1	11	0	0	8	9	66	1	8	7	8	17	1	37	20	0	10	11	42	3	26	9	1	2	4	3	2	15	4	6	25	15	16	4	2	14	7	9	21	1	1	35	22	53	6	5	11	5	3	8	3	5	25	4	4	13	0	1	1	14	23	10	42	31	41	12	6	5	4	9	4	54	17	5	20	9	39	19	3	1	7	4	1	4	16	12	0	5	22	16	16	8	1	8	10	1	3	14	4	20	11	1	3	4	11	7	10	6	2	19	8	9	65	1	9	15	25	44	6	1	4	4	2	2	2	9	20	24	2	1	8	10	5	3	5	15	11	23	4	26	33	9	10	2	3	41	51	3	6	1	1	184	10	8	66	7	16	14	16	33	4	18	18	17	13	2	11	79	6	26	29	8	23	1	14	5	13	7	82	11	0	0	9	7	6	3	4	10	26	26	10	20	17	15	12	9	18	14	16	0	4	4	7	9	13	20	1	9	24	2	1	92	3	7	13	6	18	6	6	3	1	4	17	32	5	23	22	3	30	4	7	63	1	0	39	12	10	29	12	5	26	1	0	4	66	49	12	11	6	1	19	14	14	17	43	2	3	0	6	4	5	0	1	18	6	2	1	16	1	5	1	3	2	8	29	13	27
Stonehill Sketchbook	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8	0	0
forget about it	0	0	0	2	0	0	0	1	1	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	5	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	2	0	1	2	5	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	2	2	0	0	0	0	0	3	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	1	1	0	3	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
For the Other Things	1	0	13	3	2	1	0	4	2	3	0	2	9	9	5	0	11	0	0	1	12	3	3	1	0	0	1	1	1	7	0	2	1	1	2	4	3	1	1	0	2	0	0	0	0	2	1	4	2	0	0	0	1	0	5	2	0	0	1	0	0	0	0	1	0	1	1	1	0	1	0	6	0	0	1	4	4	1	1	3	2	0	1	0	0	0	0	8	0	7	3	6	3	3	1	0	0	0	0	1	0	2	0	1	6	1	4	0	2	5	0	0	1	4	2	0	1	6	0	0	1	3	1	0	1	1	0	0	0	3	13	1	3	1	5	1	0	1	14	0	0	3	0	0	0	6	1	4	2	5	0	0	3	7	0	0	4	0	8	2	0	0	2	5	0	0	0	3	0	0	0	0	0	0	0	1	0	4	0	1	0	3	6	0	0	3	9	4	0	3	9	0	6	3	0	1	0	1	0	3	1	0	0	0	0	5	7	4	4	0	1	4	1	0	16	0	1	0	1	0	0	0	0	0	1	1	9	1	2	1	0	0	0	4	5	2	1	0	1	1	1	0	0	1	0	0	0	1	1	6	0	3	2	0	6	0	0	1	1	0	7	0	4	4	0	1	0	0	0	1	8	0	7	1	2	1	0	0	2	0	0	4	1	0	0	0	1	9	1	1	1	1	1	3	0	4	3	7	1	1	0	6	0	0	1	1	0	2	2	5	2	0	0	1	0	0	1	1	4	1	4	1	0	2	4	2	4	0	3	0	5	1	0	2	4	0	0	1	1	1	1	0	1	0	4	6	3	2	1	0	3	4	0	0	0	0	4	0	8	2	0	0	4	0	0	3	8	0	0	0	1	2	4	0	0	0	0	3	8	2	6	55	1	1	3	0	0	1	8	1	2	1	0	0	2	1	0	2	0	2	0	0	1	1	0	0	0	1	0	1	2	0	0	3	5	0	1	1	0	0	0	3	0	0	0	9	5	0	0	3	2	1	1	0	0	0	1	4	1	0	0	1	6	0	9	0	3	0	0	4	2	0	37	1	0	0	0	6	0	3	0	0	0	0	1	1	1	0	0	2	0	0	1	1	0	0	2	1	1	1	3	7	0	15	1	4	4	0	9	0	1	1	3	0	0	8	21	2	4	2
DaveCromwell Writes	8	17	5	5	4	12	15	2	10	4	1	4	4	10	1	10	0	3	23	4	2	6	0	12	26	19	2	4	1	1	15	4	18	22	3	7	5	1	3	13	4	6	0	8	17	2	3	0	12	23	32	0	6	0	5	7	2	0	7	9	2	19	50	8	8	6	3	1	12	7	0	14	1	3	0	0	0	1	13	4	5	4	6	2	21	14	0	0	3	11	5	5	13	0	29	32	18	0	8	1	5	4	3	1	8	6	0	5	32	8	0	16	32	15	2	2	1	3	0	10	12	0	1	3	1	34	12	3	3	2	3	7	13	20	15	0	8	14	4	3	3	4	5	2	8	29	6	13	13	2	8	2	2	3	1	14	8	36	2	10	2	1	2	31	25	10	4	7	4	69	8	4	7	12	124	22	4	2	3	4	4	9	0	4	1	11	0	2	0	18	1	2	4	3	3	7	2	2	1	15	16	28	20	18	7	6	1	10	7	6	41	1	12	6	0	5	7	4	0	5	6	5	1	6	12	0	0	4	9	3	9	11	13	4	3	3	6	3	6	4	28	8	5	27	44	0	5	1	2	0	7	4	0	12	34	24	17	10	2	19	7	22	0	0	1	1	83	1	6	7	3	0	6	3	2	5	9	7	5	3	5	0	9	25	2	19	2	12	5	3	2	4	0	1	22	4	5	5	5	1	4	3	0	7	3	11	28	6	8	0	6	14	7	5	10	0	4	7	0	3	9	4	17	5	4	3	12	7	7	10	5	2	2	3	0	7	29	3	18	5	45	9	2	7	1	0	0	3	1	3	2	8	5	4	10	4	14	7	3	4	19	12	10	5	10	4	0	3	6	33	4	11	0	0	3	1	23	56	26	3	1	0	5	12	3	7	12	10	4	11	9	24	1	25	2	19	4	11	4	14	0	2	7	4	1	1	6	2	11	7	6	9	20	8	15	23	3	8	8	11	12	8	3	0	8	5	18	3	1	1	5	10	22	1	3	3	9	1	5	12	0	6	1	4	0	2	6	30	12	22	5	31	0	2	20	1	7	20	4	3	62	4	2	1	5	1	6	35	7	7	23	9	28	20	7	9	4	29	2	9	5	19	0	1	23	0	34	4	4	3	3	5	9	13	1	0	0	2	9	10
T H E V O I D S	12	0	21	20	0	1	0	20	2	1	0	0	0	0	4	0	23	0	1	2	19	1	0	0	0	15	0	0	0	0	1	2	19	4	22	2	0	1	1	2	10	1	0	4	0	0	0	6	1	4	0	0	0	0	1	4	0	0	5	1	0	0	0	3	0	7	12	1	3	1	7	29	0	1	1	6	6	0	2	0	1	0	2	1	3	1	18	12	10	0	10	14	0	10	0	0	32	0	2	0	7	0	0	2	0	1	3	0	47	0	0	0	29	40	3	0	0	0	2	0	0	0	1	0	0	1	0	2	0	0	14	1	2	2	0	0	0	0	0	0	0	0	3	12	0	0	20	8	0	2	0	0	1	0	0	3	0	0	0	0	0	0	0	9	16	0	0	0	17	0	18	0	4	52	10	2	0	1	7	0	2	5	0	12	1	24	3	7	1	1	0	3	5	0	1	4	0	9	0	1	5	9	3	1	45	9	3	7	0	0	8	6	0	13	24	21	0	1	0	29	0	0	0	0	0	1	18	0	1	0	0	0	0	1	0	0	3	0	1	0	3	0	0	6	0	0	24	2	1	12	0	1	0	1	15	2	1	0	0	0	5	0	6	6	0	0	0	0	0	27	0	0	1	2	11	1	1	2	0	0	0	6	5	0	2	0	0	0	0	0	0	3	7	0	1	0	19	0	0	1	0	0	0	2	1	0	0	0	2	0	2	0	0	3	2	0	2	3	6	0	9	3	11	0	1	1	35	1	1	1	3	4	0	10	1	0	0	0	1	1	20	0	0	0	0	12	0	0	0	1	6	0	25	2	1	0	2	0	1	3	0	2	0	1	1	1	12	5	0	3	0	1	6	0	0	3	0	19	14	0	1	86	6	1	8	4	0	11	0	0	0	0	1	1	8	5	0	0	14	6	7	0	2	0	0	0	0	0	2	0	0	0	2	6	0	0	0	2	3	0	0	1	0	0	13	0	8	0	0	0	0	2	1	0	1	8	0	0	2	0	0	1	12	0	0	0	1	0	0	1	0	2	0	0	0	3	0	0	0	0	0	0	0	3	0	2	0	2	3	1	2	0	0	2	0	0	1	9	0	0	6	0	0	13	0	6	4	1	0	0	0	0	0	1	0	12	65	0	0	1
Head Space Daily	1	0	180	5	5	1	10	67	10	0	0	0	2	11	1	3	0	4	0	4	178	0	7	6	6	4	4	2	9	9	9	7	1	20	0	1	2	0	7	1	0	2	4	0	6	8	5	59	14	8	5	3	3	1	8	1	10	2	3	21	2	8	2	1	1	8	2	6	0	4	1	119	4	4	0	59	59	7	6	5	3	0	1	2	3	0	177	118	2	5	8	118	12	123	0	7	0	0	0	16	1	4	8	1	1	0	60	22	7	3	0	5	6	2	1	1	0	1	1	2	2	9	4	10	3	10	0	10	0	3	121	8	4	8	6	30	7	5	0	8	3	6	0	2	14	0	1	1	1	8	15	1	6	4	1	0	5	2	7	4	11	0	3	2	6	1	0	9	0	17	9	1	2	9	1	11	0	0	3	2	1	3	50	6	0	3	2	61	5	4	2	17	7	1	4	8	90	19	0	4	1	2	4	0	2	5	1	7	7	5	2	59	4	5	236	12	4	1	0	13	12	2	3	4	2	7	177	2	3	0	0	5	5	8	1	9	2	2	5	8	3	3	0	8	4	2	7	8	0	118	13	11	0	1	0	6	23	7	0	2	3	32	59	59	0	4	3	3	0	2	1	1	4	9	7	2	1	1	1	0	10	59	0	2	2	0	27	7	2	1	3	16	17	10	11	0	10	7	2	0	6	3	3	1	2	15	5	1	5	0	8	12	3	5	0	7	0	4	59	12	0	5	8	9	31	0	64	3	1	1	8	6	0	1	0	2	1	9	9	19	12	7	0	6	1	118	0	0	6	0	1	1	0	7	9	4	9	7	23	6	1	7	2	0	2	11	118	3	1	6	1	5	59	0	15	1	13	1	4	6	1	885	3	5	4	1	3	5	3	6	3	6	4	5	1	5	2	7	3	0	11	0	4	0	3	5	1	4	7	6	5	6	1	2	17	7	8	4	4	2	5	3	19	0	2	1	6	1	0	6	0	2	2	5	23	3	1	8	4	2	4	2	118	5	4	2	1	3	0	6	9	4	0	16	0	3	0	1	9	4	5	1	6	5	1	4	3	2	17	3	7	0	6	43	2	2	4	3	0	12	3	2	1	119	2	59	1	0	2	6	5	0	1	4	3	118	354	7	2	10
Chantelle Swain A2 Media Studies	1	0	1	5	0	3	0	2	1	1	0	0	0	2	0	0	61	0	8	1	0	0	2	1	0	0	0	1	0	0	0	0	42	21	22	0	1	1	11	5	5	0	0	3	2	0	0	0	1	30	3	0	2	1	3	2	0	0	1	0	4	0	0	0	0	4	3	2	0	0	6	3	0	5	1	0	0	0	1	0	2	0	0	0	0	1	0	0	49	0	2	0	0	3	0	5	9	0	0	0	0	0	1	3	3	12	2	0	71	1	0	0	2	13	3	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	2	0	0	3	1	0	0	7	1	0	0	2	0	0	1	0	0	0	1	0	0	1	4	2	12	2	0	0	1	15	0	19	1	0	4	1	5	0	1	3	0	9	4	1	0	2	4	1	21	8	0	0	0	7	0	0	4	0	5	1	0	7	0	1	0	45	1	1	0	0	0	2	0	0	25	0	4	0	1	0	17	0	0	0	0	0	4	0	3	2	0	0	1	0	0	0	2	1	0	1	0	2	0	1	5	1	0	2	0	4	0	3	0	1	0	2	0	0	1	0	1	10	2	0	0	0	3	0	0	0	15	2	0	4	0	3	0	3	0	1	0	0	0	5	1	7	2	0	0	5	1	0	0	0	0	1	1	9	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	2	4	0	0	4	1	0	0	0	0	29	4	3	6	0	1	0	7	1	0	0	1	0	3	4	0	0	0	0	0	0	0	0	0	3	0	15	1	0	1	1	0	1	1	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	0	0	2	0	1	7	0	0	2	1	0	2	11	6	0	0	6	1	15	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	4	1	1	0	3	11	3	0	0	4	1	0	3	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	0	0	1	1	4	1	0	2	5	13	0	0	2	0	1	1	12	0	0	3	6	0	4	0	1	3	0	0	0	0	0	2	0	0	0	8	2	1	0
The Campus Buzz on WSOU	0	0	104	1	1	3	1	37	1	4	40	9	1	1	9	1	0	1	4	4	96	0	4	0	1	0	0	2	9	3	6	0	0	1	13	0	2	8	2	1	1	0	0	23	0	9	0	32	0	0	2	4	3	0	9	0	0	0	1	4	2	7	14	1	3	0	1	18	0	1	0	64	0	0	2	32	32	30	0	8	0	9	0	0	12	0	0	64	0	0	0	63	8	32	7	0	0	0	0	0	12	9	1	2	0	0	0	1	2	5	0	2	0	1	1	0	7	1	0	0	1	0	1	0	3	1	1	8	0	5	64	0	0	0	1	11	0	21	11	25	0	6	0	6	0	10	0	0	2	9	0	53	6	1	0	0	0	0	4	0	0	1	2	3	0	0	14	5	0	11	4	0	2	0	1	0	24	0	1	1	1	0	13	1	0	3	2	71	3	1	25	3	0	2	0	1	16	0	0	2	0	0	0	11	6	0	0	1	0	19	0	33	0	0	132	0	6	1	3	4	0	0	27	17	2	0	90	18	1	0	0	1	10	3	0	1	2	0	0	4	1	5	11	3	3	12	0	0	0	62	0	0	0	1	0	3	4	1	1	0	1	0	32	32	0	0	1	2	2	0	2	3	7	0	7	3	0	19	2	43	5	32	8	0	0	2	2	2	0	3	0	0	4	2	0	1	0	0	0	0	1	1	3	1	0	3	1	2	0	2	6	8	0	0	0	11	0	3	32	0	0	0	0	0	9	0	1	0	0	0	2	4	0	0	1	0	0	1	0	0	2	0	2	4	4	62	15	0	0	0	0	1	0	0	2	1	0	3	1	0	17	1	0	0	0	3	66	3	12	9	0	3	32	0	0	0	1	8	1	3	6	446	1	0	0	0	1	1	5	29	1	0	6	0	1	0	4	0	12	1	4	0	11	13	1	0	0	25	3	1	7	0	0	0	0	4	0	11	0	9	0	4	33	17	1	9	1	3	0	2	0	0	0	2	0	1	1	6	0	0	9	8	64	1	4	1	3	0	5	1	1	1	0	4	3	0	0	0	2	2	0	8	1	0	0	0	0	3	2	4	9	17	0	4	0	1	7	0	189	0	18	2	2	66	4	32	0	31	3	13	1	8	1	0	0	66	188	4	10	0
jaaackie.	1	0	0	2	9	0	0	1	0	10	0	1	6	0	0	0	0	0	0	1	0	0	5	0	1	0	0	0	8	4	1	0	1	2	2	0	1	0	0	1	0	0	1	1	6	0	5	0	0	0	0	2	1	3	1	3	0	0	0	1	0	0	0	8	0	1	1	1	0	0	4	0	0	3	0	0	0	0	3	1	3	1	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	3	4	10	2	0	1	0	0	0	0	0	0	0	2	3	0	2	7	0	0	0	6	2	0	5	0	0	0	7	0	0	0	1	1	5	0	1	1	2	0	0	5	0	2	1	0	1	0	0	5	0	0	2	8	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	0	5	0	1	3	0	1	5	0	1	3	0	0	0	2	0	0	0	7	0	0	2	0	0	0	0	0	0	1	0	1	5	1	4	0	0	1	0	3	0	0	0	3	2	0	0	2	0	1	4	0	0	5	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	7	0	0	0	1	5	0	2	0	1	0	0	0	0	51	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	6	1	0	0	2	2	0	0	0	23	2	0	0	11	0	0	0	2	0	0	0	3	0	1	1	0	0	0	0	0	4	0	0	0	4	1	0	4	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	8	1	1	4	0	1	22	0	2	1	0	7	0	0	0	0	0	1	3	0	0	2	1	0	4	1	7	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	10	2	0	5	0	2	0	1	0	0	0	0	0	5	0	0	7	0	0	0	0	0	3	2	6	2	0	0	0	0	0	4	0	2	2	0	1	2	2	0	0	0	0	0	1	0	0	0	5	0	1	0	0	3	0	0	4	0	0	1	0	0	0	1	0	0	0	1	5	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2	1
A2 MEDIA COURSEWORK JOINT BLOG	3	0	4	6	1	1	2	10	5	0	0	0	0	0	0	0	10	1	1	0	0	0	2	0	0	1	0	0	0	1	0	5	11	5	32	0	0	1	5	1	11	0	1	0	2	0	0	0	2	10	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	3	0	9	0	8	0	0	8	0	0	0	0	1	0	6	0	1	0	2	0	0	0	7	0	2	1	0	2	2	0	11	0	0	1	5	0	0	0	0	1	2	0	24	0	0	0	19	12	0	0	0	2	0	0	0	0	3	0	1	0	1	0	0	0	0	0	6	5	1	0	1	0	0	1	0	0	1	1	0	0	13	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	8	12	0	1	0	23	3	5	1	1	32	0	0	4	1	7	0	0	6	0	0	0	7	5	2	0	1	0	0	0	0	1	0	0	3	0	0	1	0	1	3	6	1	2	1	1	0	2	0	0	8	0	17	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2	1	0	1	10	0	1	0	13	0	0	9	0	5	12	7	1	0	4	7	0	0	10	0	3	0	0	0	4	1	0	0	0	0	1	0	0	10	2	0	2	0	0	1	2	0	0	0	0	0	2	1	2	1	0	0	3	0	1	3	3	1	1	1	15	0	2	0	0	0	1	1	6	0	1	0	6	0	0	1	0	13	0	0	1	0	0	0	11	1	3	4	1	1	42	0	3	5	0	0	0	8	1	3	0	0	2	2	9	1	0	2	0	0	0	0	0	1	0	0	12	3	2	0	2	0	1	6	0	0	0	0	1	2	0	0	0	4	0	3	0	0	0	1	0	1	9	0	0	0	0	0	0	0	3	18	3	0	0	2	0	0	7	4	0	0	0	1	4	0	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	6	0	1	0	0	0	0	1	15	0	0	13	3	0	4	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	5	12	0	1	2	1	0	1	2	0	0	4	1	0	1	0	0	7	0	0	0	0	0	0	1	1	0	17	0	2	5
